uni_cod,facolta,materia_ssd_cod,materia_nome,insegnamento_prof,insegnamento_prof_www,prof_id,insegnamento_id,email,indirizzo,citta,telefono,note,isbn,titolo,data
unipa,,BIO/03,BOTANICA C.I,Alessandro Silvestre Gristina,https://www.unipa.it/persona.html?id=151376&lang=it,99819,1202197,,,,,,,,
uniud,,BIO/01,DIDATTICA DELLE SCIENZE BIOLOGICHE,Bertoncello Olivella,https://uniud.coursecatalogue.cineca.it/docente/11718/2024,99935,1208066,,,,,,,,
uniroma1,,BIO/01,BIODIVERSITA' ALIMENTARI ED ECOLOGIA,Stefania Valenza,,100837,1138136,,,,,,,,
uniroma3,,BIO/02,BOTANICA,Pelella Emanuele,,101151,1049842,,,,,,,,
uniupo,,BIO/03,MICOLOGIA - (VERCELLI),Sillo Fabiano,https://upobook.uniupo.it/personale/018361,101420,1019687,,,,,,,,
uniroma2,,BIO/03,C.I. SCIENZE INTERDISCIPLINARI I,Renato Baciocchi,http://didatticaweb.uniroma2.it/docenti/curriculum_vitae/3508-Renato-Baciocchi,102467,1250636,,,,,,,,
uniroma2,,BIO/01,BOTANICA,Antonella Canini,http://didatticaweb.uniroma2.it/docenti/curriculum_vitae/3712-Antonella-Canini,104406,1251999,,,,,,,,
uniroma2,,BIO/01,BOTANICA,Angelo Gismondi,https://didatticaweb.uniroma2.it/docenti/curriculum_vitae/T_152359-Angelo-Gismondi/0,104568,1252000,,,,,,,,
uniroma2,,BIO/01,BIOLOGIA DELLE ALGHE,Roberta Congestri,https://didatticaweb.uniroma2.it/docenti/curriculum_vitae/3880-Roberta-Congestri/0,104585,1251993,,,,,,,,
uniroma2,,BIO/01,BOTANICA,Cinzia Forni,http://didatticaweb.uniroma2.it/docenti/curriculum_vitae/4170-Cinzia-Forni,104612,1251387,,,,,,,,
uniroma2,,BIO/01,ACQUAPONICA,Roberto Braglia,https://didatticaweb.uniroma2.it/docenti/curriculum_vitae/14211-Roberto-Braglia/0,104623,1251373,,,,,,,,
uniroma2,,BIO/02,MONITORAGGIO AMBIENTALE,Alessandro Travaglini,https://didattica.uniroma2.it/docenti/curriculum_vitae/5222-Alessandro-Travaglini,104826,1252035,,,,,,,,
uniroma2,,BIO/01,PIANTE ALIMENTARI,Gabriele Di Marco,https://didatticaweb.uniroma2.it/docenti/curriculum_vitae/14802-Gabriele-Di-Marco/0,104828,1252037,,,,,,,,
unipg,,BIO/03,DIDATTICA DELLE SCIENZE BIOLOGICHE AMBIENTALI,Emma Tedeschini,https://www.unipg.it/personale/emma.tedeschini,105276,995253,,,,,,,,
uniroma2,,BIO/01,DIRITTO PER L'AMBIENTE,Nicola Palombi,,106364,1252007,,,,,,,,
uninsubria,,BIO/03,SCIENZA DELLA VEGETAZIONE E MONITORAGGIO HABITAT NATURA 2000,Dalle Fratte Michele,https://uninsubria.coursecatalogue.cineca.it/docente/37921/2024,106488,1216647,,,,,,,,
